"id","section","Q1","Q2","Q3","Q4"
200,"afternoon",0,0,"B",0
201,"afternoon",1,0,"C",0
202,"afternoon",1,1,"B",0
203,"afternoon",0,0,"B",0
204,"afternoon",0,1,"D",0
205,"afternoon",1,0,"B",0
206,"afternoon",1,1,"C",0
207,"afternoon",0,1,"B",0
208,"afternoon",0,0,"B",0
209,"afternoon",0,1,"C",0
210,"afternoon",1,1,"B",1
211,"afternoon",0,0,"B",0
212,"afternoon",1,0,"B",0
213,"afternoon",0,0,"A",0
214,"afternoon",0,1,"B",0
215,"afternoon",0,1,"C",0
216,"afternoon",0,1,"C",0
217,"afternoon",0,0,"D",0
218,"afternoon",0,1,"B",0
219,"afternoon",0,1,"A",0
220,"afternoon",1,0,"C",0
221,"afternoon",0,1,"B",0
222,"afternoon",1,0,"C",0
223,"afternoon",0,0,"C",0
224,"afternoon",0,1,"B",0
225,"afternoon",0,0,"C",0
226,"afternoon",0,0,"B",0
227,"afternoon",1,0,"D",1
228,"afternoon",1,1,"B",0
229,"afternoon",0,1,"D",1
230,"afternoon",0,0,"B",0
231,"afternoon",1,1,"D",0
232,"afternoon",0,1,"B",0
233,"afternoon",0,1,"B",0
234,"afternoon",1,0,"B",0
235,"afternoon",1,0,"A",0
236,"afternoon",1,1,"B",0
237,"afternoon",0,1,"B",0
238,"afternoon",1,1,"A",0
239,"afternoon",0,0,"C",0
240,"afternoon",0,1,"B",0
241,"afternoon",1,1,"C",0
242,"afternoon",0,1,"A",0
243,"afternoon",0,0,"A",0
244,"afternoon",0,0,"C",0
245,"afternoon",0,1,"C",0
246,"afternoon",0,1,"B",0
247,"afternoon",1,1,"B",0
248,"afternoon",0,1,"D",0
249,"afternoon",0,0,"A",1
250,"afternoon",1,0,"C",0
251,"afternoon",0,1,"A",0
252,"afternoon",0,0,"D",0
253,"afternoon",1,1,"A",0
254,"afternoon",1,1,"B",0
255,"afternoon",0,0,"B",0
256,"afternoon",0,1,"C",1
257,"afternoon",0,1,"A",0
258,"afternoon",1,1,"B",1
259,"afternoon",1,0,"B",0
260,"afternoon",0,1,"B",0
261,"afternoon",1,1,"B",0
262,"afternoon",1,1,"D",0
263,"afternoon",0,1,"B",0
264,"afternoon",1,1,"B",0
265,"afternoon",1,1,"B",0
266,"afternoon",1,1,"D",0
267,"afternoon",1,1,"D",0
268,"afternoon",0,1,"B",0
269,"afternoon",0,0,"C",0
270,"afternoon",1,0,"C",1
271,"afternoon",1,0,"A",1
272,"afternoon",0,1,"D",0
273,"afternoon",1,1,"B",1
274,"afternoon",0,1,"B",0
275,"afternoon",0,1,"C",1
276,"afternoon",0,0,"B",1
277,"afternoon",0,1,"B",0
278,"afternoon",0,1,"B",0
279,"afternoon",1,1,"A",0
280,"afternoon",1,1,"A",0
281,"afternoon",0,0,"B",0
282,"afternoon",1,1,"B",0
283,"afternoon",1,1,"C",0
284,"afternoon",0,1,"C",0
285,"afternoon",0,1,"B",0
286,"afternoon",1,0,"B",0
287,"afternoon",0,1,"B",0
288,"afternoon",1,1,"C",0
289,"afternoon",0,1,"C",0
290,"afternoon",0,0,"B",1
291,"afternoon",0,1,"B",0
292,"afternoon",1,1,"C",0
293,"afternoon",0,1,"B",1
294,"afternoon",1,1,"A",0
295,"afternoon",0,0,"B",0
296,"afternoon",0,1,"C",0
297,"afternoon",0,1,"B",0
298,"afternoon",1,0,"B",1
299,"afternoon",1,1,"A",1
