"id","section","Q1","Q2","Q3","Q4"
100,"morning",0,1,0,0
101,"morning",0,1,1,0
102,"morning",0,0,0,0
103,"morning",0,1,1,0
104,"morning",1,0,1,1
105,"morning",1,1,1,1
106,"morning",1,1,0,0
107,"morning",1,0,1,0
108,"morning",0,1,1,0
109,"morning",1,0,1,0
110,"morning",0,1,1,0
111,"morning",1,0,0,1
112,"morning",0,1,1,0
113,"morning",1,0,1,0
114,"morning",0,1,1,0
115,"morning",0,1,0,1
116,"morning",1,0,1,0
117,"morning",1,0,1,0
118,"morning",1,0,1,1
119,"morning",1,1,0,1
120,"morning",0,0,1,0
121,"morning",0,1,1,0
122,"morning",0,1,1,0
123,"morning",0,1,0,0
124,"morning",0,1,1,0
125,"morning",1,0,0,1
126,"morning",0,0,1,0
127,"morning",0,1,1,1
128,"morning",0,0,1,0
129,"morning",0,0,1,0
130,"morning",1,0,1,1
131,"morning",1,1,1,0
132,"morning",1,0,1,0
133,"morning",1,0,1,0
134,"morning",0,1,0,0
135,"morning",1,1,0,0
136,"morning",0,1,1,0
137,"morning",1,0,0,0
138,"morning",1,0,1,1
139,"morning",1,1,1,0
140,"morning",0,0,1,0
141,"morning",0,0,1,0
142,"morning",1,1,1,0
143,"morning",1,0,1,0
144,"morning",1,0,1,0
145,"morning",1,0,1,0
146,"morning",1,1,1,1
147,"morning",1,1,1,0
148,"morning",1,0,1,1
149,"morning",0,1,0,1
150,"morning",1,1,1,0
151,"morning",0,1,1,0
152,"morning",1,0,1,0
153,"morning",1,0,1,0
154,"morning",1,0,1,0
155,"morning",1,0,0,0
156,"morning",0,0,1,0
157,"morning",1,0,1,1
158,"morning",0,0,1,0
159,"morning",0,1,0,0
160,"morning",0,0,0,0
161,"morning",1,1,1,0
162,"morning",1,1,1,0
163,"morning",1,0,0,1
164,"morning",1,1,1,0
165,"morning",1,1,1,0
166,"morning",1,0,0,0
167,"morning",0,0,1,1
168,"morning",1,1,0,0
169,"morning",0,0,0,0
170,"morning",1,1,1,0
171,"morning",0,0,0,0
172,"morning",1,1,1,0
173,"morning",1,1,1,0
174,"morning",1,0,0,0
175,"morning",1,1,1,1
176,"morning",0,0,1,0
177,"morning",0,1,1,0
178,"morning",0,1,1,0
179,"morning",0,1,1,1
180,"morning",1,1,1,0
181,"morning",0,1,1,0
182,"morning",1,1,1,0
183,"morning",0,0,0,0
184,"morning",0,1,1,0
185,"morning",1,1,1,1
186,"morning",1,1,1,0
187,"morning",0,0,1,1
188,"morning",0,1,1,0
189,"morning",0,1,1,0
190,"morning",0,0,0,1
191,"morning",1,1,0,0
192,"morning",0,1,1,0
193,"morning",1,1,1,0
194,"morning",1,1,1,0
195,"morning",1,1,1,0
196,"morning",0,0,0,1
197,"morning",1,0,0,1
198,"morning",1,1,1,0
199,"morning",1,1,1,0
